item_id,cat_id,dept_id
FOODS_1_017,FOODS,FOODS_1
FOODS_1_031,FOODS,FOODS_1
FOODS_1_046,FOODS,FOODS_1
FOODS_1_051,FOODS,FOODS_1
FOODS_1_053,FOODS,FOODS_1
FOODS_1_069,FOODS,FOODS_1
FOODS_1_072,FOODS,FOODS_1
FOODS_1_078,FOODS,FOODS_1
FOODS_1_080,FOODS,FOODS_1
FOODS_1_081,FOODS,FOODS_1
FOODS_1_126,FOODS,FOODS_1
FOODS_1_167,FOODS,FOODS_1
FOODS_1_172,FOODS,FOODS_1
FOODS_1_212,FOODS,FOODS_1
FOODS_2_003,FOODS,FOODS_2
FOODS_2_016,FOODS,FOODS_2
FOODS_2_022,FOODS,FOODS_2
FOODS_2_044,FOODS,FOODS_2
FOODS_2_046,FOODS,FOODS_2
FOODS_2_059,FOODS,FOODS_2
FOODS_2_062,FOODS,FOODS_2
FOODS_2_074,FOODS,FOODS_2
FOODS_2_088,FOODS,FOODS_2
FOODS_2_102,FOODS,FOODS_2
FOODS_2_128,FOODS,FOODS_2
FOODS_2_130,FOODS,FOODS_2
FOODS_2_132,FOODS,FOODS_2
FOODS_2_144,FOODS,FOODS_2
FOODS_2_147,FOODS,FOODS_2
FOODS_2_197,FOODS,FOODS_2
FOODS_2_199,FOODS,FOODS_2
FOODS_2_247,FOODS,FOODS_2
FOODS_2_250,FOODS,FOODS_2
FOODS_2_267,FOODS,FOODS_2
FOODS_2_283,FOODS,FOODS_2
FOODS_2_347,FOODS,FOODS_2
FOODS_2_380,FOODS,FOODS_2
FOODS_3_006,FOODS,FOODS_3
FOODS_3_017,FOODS,FOODS_3
FOODS_3_038,FOODS,FOODS_3
FOODS_3_051,FOODS,FOODS_3
FOODS_3_083,FOODS,FOODS_3
FOODS_3_088,FOODS,FOODS_3
FOODS_3_093,FOODS,FOODS_3
FOODS_3_131,FOODS,FOODS_3
FOODS_3_140,FOODS,FOODS_3
FOODS_3_142,FOODS,FOODS_3
FOODS_3_150,FOODS,FOODS_3
FOODS_3_152,FOODS,FOODS_3
FOODS_3_153,FOODS,FOODS_3
FOODS_3_195,FOODS,FOODS_3
FOODS_3_197,FOODS,FOODS_3
FOODS_3_211,FOODS,FOODS_3
FOODS_3_231,FOODS,FOODS_3
FOODS_3_273,FOODS,FOODS_3
FOODS_3_276,FOODS,FOODS_3
FOODS_3_282,FOODS,FOODS_3
FOODS_3_288,FOODS,FOODS_3
FOODS_3_293,FOODS,FOODS_3
FOODS_3_294,FOODS,FOODS_3
FOODS_3_296,FOODS,FOODS_3
FOODS_3_304,FOODS,FOODS_3
FOODS_3_350,FOODS,FOODS_3
FOODS_3_361,FOODS,FOODS_3
FOODS_3_406,FOODS,FOODS_3
FOODS_3_412,FOODS,FOODS_3
FOODS_3_420,FOODS,FOODS_3
FOODS_3_458,FOODS,FOODS_3
FOODS_3_466,FOODS,FOODS_3
FOODS_3_480,FOODS,FOODS_3
FOODS_3_481,FOODS,FOODS_3
FOODS_3_485,FOODS,FOODS_3
FOODS_3_490,FOODS,FOODS_3
FOODS_3_491,FOODS,FOODS_3
FOODS_3_522,FOODS,FOODS_3
FOODS_3_525,FOODS,FOODS_3
FOODS_3_539,FOODS,FOODS_3
FOODS_3_544,FOODS,FOODS_3
FOODS_3_561,FOODS,FOODS_3
